Date,Adj Close
04/03/2019,28.529165
05/03/2019,28.5783
06/03/2019,28.342443
07/03/2019,28.057446
08/03/2019,28.15572
11/03/2019,28.440718
12/03/2019,28.440718
13/03/2019,28.784679
14/03/2019,28.951744
15/03/2019,28.794506
18/03/2019,29.305534
19/03/2019,29.138466
20/03/2019,28.145891
21/03/2019,27.693829
22/03/2019,26.544012
25/03/2019,26.376947
26/03/2019,26.740562
27/03/2019,26.563671
28/03/2019,26.858494
29/03/2019,27.114008
01/04/2019,28.047619
02/04/2019,28.371925
03/04/2019,28.342443
04/04/2019,28.647093
05/04/2019,28.5783
08/04/2019,28.666748
09/04/2019,28.391577
10/04/2019,28.568474
11/04/2019,28.568474
12/04/2019,29.649496
15/04/2019,29.325188
16/04/2019,29.364498
17/04/2019,29.511911
18/04/2019,29.511911
22/04/2019,29.531565
23/04/2019,29.551222
24/04/2019,29.502083
25/04/2019,29.561049
26/04/2019,29.826391
29/04/2019,30.239145
30/04/2019,30.052422
01/05/2019,29.737944
02/05/2019,29.973803
03/05/2019,30.180178
06/05/2019,29.944319
07/05/2019,29.403811
08/05/2019,29.285877
09/05/2019,29.19743
10/05/2019,29.069675
13/05/2019,27.762621
14/05/2019,28.126238
15/05/2019,27.801931
16/05/2019,28.096756
17/05/2019,27.910034
20/05/2019,27.910034
21/05/2019,28.19503
22/05/2019,27.99848
23/05/2019,27.281075
24/05/2019,27.693829
28/05/2019,27.418659
29/05/2019,27.271246
30/05/2019,26.691425
31/05/2019,26.141088
03/06/2019,26.219706
04/06/2019,27.438313
05/06/2019,27.428488
06/06/2019,27.547054
07/06/2019,27.201233
10/06/2019,27.734783
11/06/2019,27.902754
12/06/2019,27.616219
13/06/2019,27.606339
14/06/2019,27.705143
17/06/2019,27.596457
18/06/2019,28.278217
19/06/2019,27.981798
20/06/2019,27.932398
21/06/2019,27.784189
24/06/2019,27.645859
25/06/2019,27.428488
26/06/2019,27.576696
27/06/2019,27.873112
28/06/2019,28.653679
01/07/2019,29.068663
02/07/2019,28.801888
03/07/2019,28.703081
05/07/2019,28.910574
08/07/2019,28.85129
09/07/2019,28.999498
10/07/2019,28.673439
11/07/2019,29.00938
12/07/2019,29.098305
15/07/2019,28.871052
16/07/2019,28.643797
17/07/2019,28.841412
18/07/2019,29.127945
19/07/2019,29.048903
22/07/2019,29.216871
23/07/2019,29.888752
24/07/2019,30.303736
25/07/2019,29.977676
26/07/2019,30.402542
29/07/2019,30.155527
30/07/2019,30.521109
31/07/2019,30.313616
01/08/2019,29.137827
02/08/2019,29.029139
05/08/2019,27.744665
06/08/2019,28.080605
07/08/2019,27.556932
08/08/2019,28.04108
09/08/2019,27.99168
12/08/2019,27.309919
13/08/2019,27.388964
14/08/2019,26.10449
15/08/2019,25.936518
16/08/2019,26.707207
